cc,rir,asn_count,valid_pct_now,total_now,valid_pct_now_v6,total_now_v6,valid_pct_3mo,delta_3mo,valid_pct_3mo_v6,delta_3mo_v6,valid_pct_6mo,delta_6mo,valid_pct_6mo_v6,delta_6mo_v6,valid_pct_12mo,delta_12mo,valid_pct_12mo_v6,delta_12mo_v6,valid_pct_24mo,delta_24mo,valid_pct_24mo_v6,delta_24mo_v6
KI,apnic,5,89.5,19,100.0,2,63.2,26.3,100.0,0.0,57.1,32.4,100.0,0.0,58.8,30.7,100.0,0.0,61.1,28.4,100.0,0.0
KM,afrinic,4,74.3,35,100.0,3,79.3,-5.0,100.0,0.0,80.8,-6.5,100.0,0.0,80.0,-5.7,100.0,0.0,100.0,-25.7,100.0,0.0
KN,arin,11,13.0,100,84.6,13,16.2,-3.2,85.7,-1.1,13.8,-0.8,100.0,-15.4,15.5,-2.5,100.0,-15.4,7.2,5.8,91.7,-7.1
KP,apnic,1,0.0,6,100.0,2,0.0,0.0,85.7,14.3,12.5,-12.5,83.3,16.7,66.7,-66.7,88.9,11.1,22.2,-22.2,90.0,10.0
KR,apnic,1079,6.7,27517,11.8,2396,5.6,1.1,13.7,-1.9,5.8,0.9,13.8,-2.0,4.6,2.1,20.6,-8.8,2.3,4.4,13.0,-1.2
KW,ripencc,84,67.2,2446,98.7,157,66.2,1.0,98.1,0.6,64.6,2.6,98.1,0.6,63.7,3.5,98.1,0.6,55.9,11.3,96.7,2.0
KY,arin,18,48.2,110,92.6,27,55.2,-7.0,93.1,-0.5,54.6,-6.4,92.0,0.6,57.3,-9.1,91.7,0.9,36.0,12.2,94.7,-2.1
KZ,ripencc,261,80.0,7572,38.6,1090,72.2,7.8,34.7,3.9,67.9,12.1,32.5,6.1,38.5,41.5,29.5,9.1,34.3,45.7,34.6,4.0
LA,apnic,42,94.8,367,94.4,54,94.1,0.7,91.2,3.2,94.5,0.3,91.5,2.9,91.0,3.8,89.6,4.8,90.5,4.3,97.6,-3.2
LB,ripencc,173,97.9,1506,91.4,58,97.9,0.0,92.1,-0.7,98.0,-0.1,90.3,1.1,97.6,0.3,91.4,0.0,96.2,1.7,90.2,1.2
LC,arin,7,12.2,90,62.1,29,12.4,-0.2,64.5,-2.4,11.2,1.0,57.1,5.0,11.5,0.7,61.8,0.3,10.6,1.6,37.0,25.1
LI,ripencc,28,83.8,80,75.9,54,83.1,0.7,76.8,-0.9,84.4,-0.6,85.1,-9.2,86.6,-2.8,82.8,-6.9,80.6,3.2,67.7,8.2
LK,apnic,32,95.8,619,91.2,227,92.1,3.7,81.4,9.8,92.2,3.6,82.0,9.2,91.2,4.6,88.3,2.9,97.8,-2.0,93.3,-2.1
LR,afrinic,16,43.4,99,50.0,10,42.1,1.3,54.5,-4.5,41.1,2.3,50.0,0.0,40.7,2.7,40.0,10.0,7.3,36.1,20.0,30.0
LS,afrinic,9,71.8,85,100.0,5,72.8,-1.0,100.0,0.0,70.7,1.1,100.0,0.0,30.1,41.7,66.7,33.3,48.1,23.7,75.0,25.0
LT,ripencc,219,89.8,2716,88.3,488,89.3,0.5,83.7,4.6,88.9,0.9,83.3,5.0,86.5,3.3,85.2,3.1,87.7,2.1,85.9,2.4
LU,ripencc,131,55.5,955,81.8,187,55.1,0.4,81.9,-0.1,53.5,2.0,82.0,-0.2,53.2,2.3,79.6,2.2,49.9,5.6,78.8,3.0
LV,ripencc,309,83.8,1510,85.8,176,79.1,4.7,87.2,-1.4,78.2,5.6,84.8,1.0,76.0,7.8,81.3,4.5,75.2,8.6,75.8,10.0
LY,afrinic,27,58.3,612,90.2,112,71.6,-13.3,92.2,-2.0,79.8,-21.5,98.2,-8.0,73.8,-15.5,98.2,-8.0,76.2,-17.9,98.4,-8.2
MA,afrinic,32,14.9,2498,43.5,168,3.4,11.5,21.6,21.9,3.6,11.3,21.1,22.4,3.2,11.7,18.9,24.6,10.6,4.3,76.3,-32.8
MC,ripencc,4,54.0,50,91.3,23,54.2,-0.2,90.9,0.4,53.2,0.8,90.0,1.3,52.4,1.6,88.2,3.1,55.9,-1.9,56.2,35.1
MD,ripencc,204,89.9,1116,98.8,258,90.1,-0.2,69.8,29.0,90.2,-0.3,97.4,1.4,89.3,0.6,93.5,5.3,91.0,-1.1,92.9,5.9
ME,ripencc,30,49.0,243,84.6,26,50.0,-1.0,85.2,-0.6,49.2,-0.2,84.0,0.6,52.1,-3.1,75.0,9.6,55.9,-6.9,71.4,13.2
MF,arin,6,38.9,18,100.0,2,35.3,3.6,100.0,0.0,29.4,9.5,100.0,0.0,35.3,3.6,75.0,25.0,42.1,-3.2,66.7,33.3
MG,afrinic,7,42.4,427,66.7,9,42.2,0.2,75.0,-8.3,45.3,-2.9,75.0,-8.3,52.7,-10.3,75.0,-8.3,48.2,-5.8,71.4,-4.7
MH,ripencc,10,94.0,50,100.0,3,94.3,-0.3,100.0,0.0,76.5,17.5,62.5,37.5,82.4,11.6,62.5,37.5,82.4,11.6,100.0,0.0
MK,ripencc,68,42.6,678,54.3,35,51.3,-8.7,55.6,-1.3,21.9,20.7,48.4,5.9,23.7,18.9,58.6,-4.3,28.4,14.2,55.6,-1.3
ML,afrinic,8,83.3,180,75.0,16,81.9,1.4,76.5,-1.5,82.5,0.8,75.0,0.0,84.7,-1.4,66.7,8.3,25.4,57.9,30.8,44.2
MM,apnic,170,92.8,947,90.7,474,92.9,-0.1,96.1,-5.4,91.0,1.8,96.3,-5.6,89.8,3.0,98.8,-8.1,85.9,6.9,99.1,-8.4
MN,apnic,75,97.6,534,100.0,101,97.5,0.1,100.0,0.0,96.3,1.3,100.0,0.0,96.6,1.0,100.0,0.0,97.6,0.0,100.0,0.0
MO,apnic,15,94.7,226,64.9,111,91.4,3.3,75.0,-10.1,91.4,3.3,76.6,-11.7,68.2,26.5,95.7,-30.8,67.0,27.7,93.1,-28.2
