asn,name,cc,rir,cone,verdict,has_real_aspa,declared_providers,inferred_upstreams,jaccard_overlap
62149,Verein Kabel-TV Gerlos,AT,ripencc,0,STUB: VULNERABLE,False,,5404,
62150,BARS Group JSC,RU,ripencc,0,STUB: VULNERABLE,False,,60651,
62151,CROMTEL MEDIA GROUP SRL,RO,ripencc,0,NOT ROUTED,False,,,
62152,NAPRZOD INWESTYCJE Sp z o.o.,PL,ripencc,0,STUB: VULNERABLE,False,,48424;12741,
62153,DotIdea Solutions Inc,CA,arin,0,STUB: PASSIVE (Clean Pipe),False,,60068,
62154,NOCTION S.R.L.,MD,ripencc,0,NOT ROUTED,False,,,
62155,oja.at GmbH,AT,ripencc,0,STUB: VULNERABLE,False,,39912,
62156,HXS GmbH,AT,ripencc,0,REGRESSED,False,,48943,
272869,INTERCOMM DE NARIÑO SAS,CO,lacnic,0,REGRESSED,False,,3356;262589;18678,
272870,LYC SOLUCIONES EN CONECTIVIDAD SRL,AR,lacnic,0,STUB: PASSIVE (Clean Pipe),False,,11664,
62159,Happy Technik s.r.o.,CZ,ripencc,0,STUB: VULNERABLE,False,,209369,
62160,WEB3 Leaders INC,CA,arin,1,PARTIAL: VULNERABLE (Mixed),False,,39392;60068;9002;174;6939;1820,
62161,PRO-PING d.o.o.,HR,ripencc,0,STUB: VULNERABLE,False,,1299;6939;6204,
62162,GES Services SRL,RO,ripencc,0,STUB: VULNERABLE,False,,9050;8708,
62163,IP River Limited,GB,ripencc,1,PARTIAL: VULNERABLE (Mixed),False,,174;3216;29075;7575;3257;6939,
62164,Heymman Servers Corporation,CA,arin,0,NOT ROUTED,False,,,
62165,Host Direct sp. z o. o.,PL,ripencc,0,STUB: PASSIVE (Clean Pipe),False,,6939;24724,
62166,Spadhausen SRL Unipersonale,IT,ripencc,1,REGRESSED,False,,9002;174;15830;8218;6939,
