asn,count,cone,name
12996,11,1,Domeneshop AS
36864,11,1,AFRIBONE MALI SA
57073,11,1,LLC Wildberries
16477,11,0,Nielsen Consumer LLC
202870,11,0,Dimensione S.r.l.
5583,11,0,Orange S.A.
203101,11,0,Navarino Single Member S.A.
14361,11,0,HopOne Internet Corporation
13431,11,0,"Millennium Partners, L.P."
205638,11,0,T-Bank (Mobile)
4983,11,0,Intel Corporation
26667,11,0,"Magnite, Inc."
213576,11,0,Robert Weir
136041,11,0,"Singapore Telecom, ConnectPlus"
393226,11,0,"Intercontinental Exchange, Inc."
9605,11,0,"NTT DOCOMO, INC."
400097,11,0,National Wi-Fi
49463,11,0,BASSAC SA
4862,11,0,Orange Business AS for Asia
8399,11,0,SEWAN SAS
27281,11,0,Quantcast Corporation
16789,11,0,"YARDI SYSTEMS, INC"
46784,11,0,"Davis Polk & Wardwell, LLP"
61098,11,0,Exoscale (Akenes SA)
32528,11,0,ROSS PRODUCTS DIVISION
22283,11,0,Sidley Austin LLP
18880,11,0,Lam Research Corporation
216096,11,0,Alex Terrats Ciberseguretat SLU
397468,11,0,"Think On, Inc."
47195,11,0,Gameforge 4D GmbH
400514,11,0,ESpace Networks
5410,11,0,Bouygues Telecom SA
393559,11,0,"WEBBING USA, INC."
38191,11,0,Infosys Technologies Ltd
23316,11,0,"Bel Air Internet, LLC"
394977,11,0,"TAKE-TWO INTERACTIVE SOFTWARE, INC."
2818,11,0,BBC
26793,11,0,ICS Advanced Technologies
6404,11,0,"FactSet Research Systems, Inc."
1126,11,0,Vancis Advanced ICT Services
4195,11,0,D. E. Shaw & Co. LP
44034,11,0,Hi3G Access AB
17639,10,43286,Converge ICT Solutions Inc.
33891,10,36364,Core-Backbone GmbH
7713,10,3221,PT Telkom Indonesia Tbk
25091,10,732,IP-Max SA
37100,10,676,SEACOM Limited
9318,10,560,SK Broadband Co Ltd
30844,10,556,Liquid Intelligent Technologies 
3786,10,495,LG DACOM Corporation
49915,10,327,Megaport (UK) Limited
3255,10,263,Ukrainian Academic and Research Network
812,10,235,Rogers Communications Canada Inc.
20115,10,183,Spectrum (Charter)
8455,10,169,atom86 BV
9050,10,167,Orange Romania S.A.
34224,10,164,Neterra Ltd.
45903,10,150,CMC Telecom Infrastructure Company
263444,10,130,Open X Tecnologia Ltda
4761,10,127,PT Indosat Tbk
33763,10,122,Paratus Telecommunications Limited
12400,10,122,Partner Communications Ltd.
39737,10,99,Prime Telecom srl
17494,10,90,Bangladesh Telegraph & Telephone Board
9829,10,83,BSNL (Bharat Sanchar Nigam Ltd)
57866,10,76,Fusix Networks B.V.
8452,10,73,Telecom Egypt
2119,10,71,Telenor Norge AS
3170,10,61,VeloxServ Communications Ltd
35104,10,59,Jusan Mobile JSC
34309,10,55,Link11 GmbH
55850,10,51,Mercury NZ Limited
202984,10,48,Team-Host (Chernyshov Aleksandr Aleksandrovich)
9924,10,44,"Taiwan Fixed Network, Telco and Network Service Provider."
62000,10,41,SERVERD SAS
49600,10,40,"NEAR IP, S.L."
8422,10,37,NetCologne
9902,10,37,NTC Neocom
42739,10,33,Hawe Telekom S.A.
9136,10,30,WOBCOM GmbH
10242,10,30,US Internet Corp
21473,10,29,PFALZKOM GmbH
15958,10,29,CETIN Ltd. Belgrade
38182,10,28,Extreme Broadband
35432,10,25,Cablenet Communication Systems plc
29670,10,24,"Individual Network Berlin (""IN-Berlin"") e.V."
23201,10,24,TIGO Paraguay
7311,10,24,Frontier Networks Inc
39120,10,20,Convergenze S.p.A.
21277,10,19,Allay Nawroz Telecom Company for Communication/Ltd.
399486,10,17,Virtuo
210756,10,16,EdgeCenter LLC
132602,10,15,Bangladesh Submarine Cable Company Limited (BSCCL)
56665,10,14,Proximus Luxembourg S.A.
5466,10,13,Eircom Limited
34347,10,13,HALLAG Kommunal GmbH
51178,10,13,JSC Avantel
49505,10,13,JSC Selectel
44486,10,13,"Oliver Horscht is trading as ""SYNLINQ"""
135391,10,12,"Aofei Data International Co., Ltd."
9146,10,12,BH Telecom d.d.
21263,10,12,TeleData GmbH
56987,10,11,ABACLOUDA SAS
153371,10,11,BACK WAVES LIMITED
200845,10,11,"AVATEL TELECOM, SA"
44217,10,11,IQ Networks for Data and Internet Services Ltd
6805,10,10,Telefonica Germany (o2)
6653,10,10,Vero Broadband
12693,10,10,e.discom Telekommunikation GmbH
10111,10,10,Zeofast Network
28398,10,10,INTERNET TELEFONIA Y TV DE MICHOACAN SA DE CV
33991,10,9,IGRA-SERVICE LLC
23889,10,9,Mauritius Telecom Ltd
51500,10,9,Servisnet Ltd.
6315,10,9,"XMission, L.C."
48642,10,8,K TELECOM LLC
8369,10,8,Intersvyaz-2 JSC
16524,10,8,MetTel
35266,10,8,EX Networks Limited
41378,10,7,Kirino LLC
394625,10,7,WhiteLabel IT Solutions Corp
42541,10,7,Fiberby ApS
327814,10,7,Ecoband Ltd
54527,10,7,Astute Internet
40994,10,7,Alwyzon (Hohl IT)
15547,10,6,netplus.ch SA
50867,10,6,HOSTKEY B.V.
138995,10,6,Antbox Networks Limited
8648,10,6,dogado GmbH
2018,10,6,TENET (The UNINET Project)
56308,10,6,Telekomunikasi Indonesia International Pte. Ltd.
7545,10,5,TPG Telecom Limited
149513,10,5,SyCloud
8860,10,5,Delta HighTech Ltd.
55285,10,5,Serverside.com
31424,10,5,Netrics AG
55195,10,5,CIRA Canadian Internet Registration Authority Autorit Canadienne pour les enregistrements Internet
932,10,4,XNNET LLC
42093,10,4,InterRacks B.V.
42295,10,4,TBISS Ltd
202932,10,4,Quanza B.V.
197000,10,4,RIPE NCC - Anycast DNS
979,10,4,NetLab Global
21215,10,4,UNITED GROUP NETWORK INFRASTRUCTURE d.o.o. Beograd
207594,10,3,Connectivia S.r.l
1101,10,3,SURF (Thunderlab)
51468,10,3,One.com A/S
21804,10,3,Access Communications  Co-operative Limited
200462,10,3,"Lennart Seitz trading as ""ETH-Services"""
8697,10,3,Jordan Telecommunications PSC
12414,10,3,Solcon Internetdiensten B.V.
41887,10,2,Prolocation B.V.
48452,10,2,Telco power Ltd
134548,10,2,DXTL Tseung Kwan O Service
56701,10,2,"LLC ""AVANTA TELECOM"""
8804,10,2,regio[.NET] Holding GmbH
41913,10,2,Computerline GmbH
5378,10,2,Vodafone Limited
25220,10,2,equada network GmbH
38983,10,2,Copaco Cloud B.V.
207790,10,2,SWN Stadtwerke Neumuenster GmbH
39647,10,2,Enreach Netherlands B.V.
