Rank,ASN,Cone_Size,Node_Degree,Direct_Customers
870,38235,32,53,31
871,5384,32,34,32
872,208905,32,43,27
873,4768,31,35,31
874,63956,31,41,26
875,10310,31,89,31
876,133524,31,37,29
877,269595,31,37,28
878,8374,31,49,31
879,23404,31,39,29
880,141731,31,36,29
881,3737,31,40,30
882,31313,31,39,31
883,13789,31,37,31
884,16302,31,39,31
885,266525,31,41,30
886,20207,31,36,30
887,38757,31,57,31
888,15576,31,61,29
889,15836,31,31,27
890,3262,31,43,30
891,17476,31,45,24
892,1653,31,38,31
893,1241,31,59,30
894,38008,31,42,26
895,16010,30,35,30
896,10242,30,38,27
897,45049,30,61,17
898,15296,30,35,30
899,3329,30,36,30
900,9136,30,60,22
901,13110,30,45,30
902,263269,30,35,30
903,197103,30,31,30
904,14265,30,34,29
905,4007,30,33,30
906,266181,30,42,30
907,34718,30,31,30
908,62403,30,41,22
909,237,30,38,30
910,273683,29,37,27
911,327693,29,32,27
912,15958,29,58,24
913,27066,29,32,29
914,29467,29,62,24
915,5408,29,35,29
916,50309,29,56,25
917,55666,29,38,29
918,21473,29,57,28
919,40948,29,37,29
920,8492,29,49,29
921,58299,29,65,25
922,263558,29,39,28
923,61599,29,46,12
924,61745,29,32,27
925,20552,29,34,28
926,61231,29,50,29
927,141642,29,32,26
928,61512,29,37,28
929,206810,29,41,27
930,55256,29,105,3
931,25184,29,34,29
932,25019,29,35,28
933,265061,29,34,29
934,16097,29,51,28
935,44735,29,56,28
936,397423,28,43,26
937,62206,28,36,28
938,38182,28,61,26
939,23352,28,48,26
940,399855,28,32,28
941,13999,28,36,26
942,21826,28,33,26
943,52974,28,33,27
944,53427,28,42,23
945,16905,28,31,28
946,140570,28,49,27
947,19905,28,41,28
948,2603,28,52,9
949,12843,28,53,28
950,29314,28,56,25
951,14041,27,30,24
952,25369,27,80,27
953,53065,27,33,26
954,55821,27,46,26
955,13004,27,59,23
956,265482,27,34,26
957,11556,27,28,27
958,680,27,51,27
959,8501,27,30,21
960,55352,27,35,27
961,12654,27,73,10
962,133001,27,34,26
963,2381,27,40,27
964,25400,27,36,27
965,855,27,34,27
966,59105,27,39,26
967,197071,27,49,26
968,55140,27,32,27
969,9125,27,50,27
970,12831,27,31,26
971,265377,27,35,26
972,64302,27,28,27
973,7004,27,33,24
974,39801,27,51,26
975,38082,27,67,14
976,668,27,33,27
977,398465,27,80,23
978,983,27,52,25
979,9063,26,46,25
980,16347,26,50,24
981,396356,26,65,26
982,24173,26,45,26
983,136168,26,42,23
984,36873,26,32,24
985,19318,26,39,26
986,58470,26,35,21
987,20119,26,39,25
988,36149,26,30,25
989,10430,26,27,26
990,10835,26,28,23
991,15704,26,43,26
992,8674,26,75,12
993,212477,26,56,21
994,9129,26,28,24
995,45650,26,29,26
996,30722,26,34,26
997,8985,26,37,26
998,51465,26,39,20
999,42,26,118,13
1000,29909,26,37,26
1001,12615,26,53,24
1002,48858,26,43,23
1003,12337,25,47,25
1004,61138,25,46,25
1005,9255,25,36,25
1006,35432,25,54,22
1007,803,25,41,25
1008,141898,25,31,25
1009,139883,25,29,25
1010,28910,25,55,20
1011,42313,25,30,24
1012,25454,25,49,23
1013,12975,25,31,24
1014,15525,25,27,25
1015,61678,25,34,25
1016,41039,25,45,23
1017,10834,25,29,25
1018,18106,25,60,20
1019,262253,25,26,22
1020,26744,25,33,20
1021,21320,25,50,19
1022,14080,25,33,25
1023,265442,25,30,23
1024,8047,25,36,25
1025,15169,25,96,23
1026,2852,25,50,19
1027,47692,25,46,24
1028,38203,25,31,25
1029,51346,25,38,19
1030,150279,24,35,23
1031,46475,24,46,24
1032,62240,24,60,21
1033,15108,24,31,24
1034,40792,24,42,24
1035,12189,24,65,24
1036,44592,24,64,23
1037,31376,24,35,24
1038,9038,24,38,24
1039,135377,24,53,24
1040,47794,24,52,15
1041,51074,24,26,24
1042,9230,24,28,24
1043,36103,24,30,24
1044,25956,24,28,24
1045,263998,24,43,23
1046,7311,24,44,24
1047,3462,24,69,24
1048,199081,24,52,23
1049,12387,24,43,24
1050,24637,24,50,24
1051,29670,24,46,24
1052,265144,24,35,24
1053,23201,24,58,23
1054,28649,24,38,23
1055,2153,24,31,24
1056,26827,24,30,24
1057,24631,24,28,24
1058,17806,24,33,22
1059,8517,24,28,24
1060,18450,24,43,17
1061,6848,23,35,23
1062,6300,23,32,20
1063,60330,23,27,23
1064,30029,23,27,22
1065,27988,23,32,23
1066,42781,23,24,23
1067,1887,23,26,23
1068,13489,23,31,22
1069,31549,23,25,23
1070,21299,23,27,23
1071,25248,23,35,23
1072,40581,23,28,23
1073,29518,23,27,21
1074,6677,23,48,22
1075,32425,23,36,19
1076,198477,23,26,22
1077,33915,23,26,23
1078,133385,23,27,18
1079,396926,23,26,23
1080,56595,23,43,23
1081,24088,23,35,21
1082,24186,23,27,23
1083,55329,23,57,18
1084,48422,23,35,22
1085,396986,23,107,9
1086,21433,23,78,8
1087,205132,23,25,23
1088,22742,23,34,21
1089,57681,23,27,23
1090,51088,23,41,22
1091,19752,23,34,22
1092,56911,23,62,22
1093,61758,22,29,21
1094,23956,22,28,22
1095,267587,22,31,22
1096,264562,22,38,19
1097,262725,22,52,16
1098,51396,22,40,22
1099,262342,22,29,22
1100,24514,22,25,22
1101,13150,22,105,6
1102,6736,22,25,22
1103,376,22,34,22
1104,8637,22,51,22
1105,62214,22,25,21
1106,203214,22,27,22
1107,60446,22,22,18
1108,49134,22,45,19
1109,52928,22,26,19
1110,7992,22,33,22
1111,11776,22,28,22
1112,39122,22,49,21
1113,135636,22,37,22
1114,264144,22,31,22
1115,38758,22,29,22
1116,53587,22,39,21
1117,8048,22,27,22
1118,6057,22,42,22
1119,786,22,45,22
1120,20141,22,28,22
1121,136907,22,91,10
1122,57043,22,66,18
1123,25512,22,32,20
1124,23961,22,37,19
1125,8758,22,50,21
1126,6922,22,28,22
1127,20712,22,41,22
1128,43733,22,40,22
1129,264984,22,32,22
1130,9723,22,29,22
1131,29405,21,51,21
1132,33185,21,33,21
1133,12200,21,50,19
1134,136255,21,37,21
1135,57630,21,31,19
1136,4618,21,30,21
1137,327992,21,23,21
1138,27717,21,25,21
1139,766,21,34,21
1140,133275,21,25,19
1141,44684,21,56,20
1142,18002,21,30,21
1143,27693,21,32,21
1144,23314,21,26,21
1145,21738,21,33,19
1146,20294,21,28,19
1147,17625,21,29,21
1148,264996,21,31,21
1149,41998,21,42,21
1150,45204,21,31,21
1151,47626,21,35,21
1152,27065,21,24,21
1153,6846,21,26,21
1154,43766,21,33,21
1155,263047,21,32,20
1156,553,21,39,15
1157,15695,21,88,18
1158,32440,21,25,21
1159,265290,21,34,21
1160,56910,21,28,19
1161,12703,21,51,21
1162,23838,21,28,21
1163,49808,21,40,20
1164,34867,21,38,21
1165,146943,21,32,20
1166,56040,21,25,21
1167,39153,21,31,19
1168,29614,21,30,21
1169,8001,21,34,21
1170,265080,21,32,21
1171,59900,21,49,14
1172,263482,21,30,19
1173,45250,21,40,20
1174,9340,21,30,21
1175,132116,21,28,21
1176,270340,20,29,20
1177,8781,20,60,7
1178,22925,20,27,20
1179,42831,20,35,18
1180,39120,20,52,14
1181,47176,20,32,20
1182,17497,20,40,18
1183,138089,20,27,20
1184,25549,20,29,19
1185,269783,20,25,19
1186,393444,20,21,17
1187,8309,20,52,17
1188,51964,20,30,20
1189,137367,20,37,20
1190,7381,20,25,20
1191,2734,20,28,20
1192,273103,20,28,20
1193,133676,20,26,20
1194,20860,20,41,20
1195,38040,20,58,8
1196,150593,20,29,18
1197,21021,20,21,20
1198,197959,20,24,20
1199,58629,20,23,20
1200,197453,20,36,20
1201,43139,20,39,19
1202,6208,20,29,20
1203,5580,20,40,18
1204,34177,20,48,19
1205,7632,20,35,16
1206,10122,20,74,17
1207,28258,20,30,18
1208,272112,20,23,18
1209,2586,20,26,20
1210,9541,20,61,20
1211,26548,20,36,20
1212,8368,20,54,20
1213,53102,20,28,19
1214,266725,20,22,18
1215,269931,19,19,19
1216,21277,19,43,18
1217,14230,19,36,19
1218,32217,19,35,19
1219,15623,19,33,19
1220,15808,19,27,18
1221,25472,19,25,18
1222,42927,19,29,19
1223,33765,19,28,17
